ano,mes,cbo6,faixa_sm,mov,n,sal_medio
2023,2,142535,6_a_10SM,deslig,14,11129.66
2023,2,142535,acima_10SM,adm,6,19733.33
2023,2,142535,acima_10SM,deslig,13,16014.76
2023,2,142535,ate_3SM,adm,22,2465.3
2023,2,142535,ate_3SM,deslig,16,2398.72
2023,2,212305,3_a_6SM,adm,24,5877.38
2023,2,212305,3_a_6SM,deslig,32,5803.74
2023,2,212305,6_a_10SM,adm,21,10668.19
2023,2,212305,6_a_10SM,deslig,43,10396.78
2023,2,212305,acima_10SM,adm,14,21114.85
2023,2,212305,acima_10SM,deslig,16,15907.87
2023,2,212305,ate_3SM,adm,14,2864.53
2023,2,212305,ate_3SM,deslig,20,2228.16
2023,2,212310,3_a_6SM,adm,8,5683.37
2023,2,212310,3_a_6SM,deslig,11,5651.7
2023,2,212310,6_a_10SM,adm,14,11062.86
2023,2,212310,6_a_10SM,deslig,12,10823.83
2023,2,212310,acima_10SM,adm,3,19247.33
2023,2,212310,acima_10SM,deslig,10,19075.17
2023,2,212310,ate_3SM,adm,16,2822.9
2023,2,212310,ate_3SM,deslig,25,2683.54
2023,2,212315,3_a_6SM,adm,16,5294.1
2023,2,212315,3_a_6SM,deslig,19,5694.68
2023,2,212315,6_a_10SM,adm,14,9748.95
2023,2,212315,6_a_10SM,deslig,34,10098.24
2023,2,212315,acima_10SM,adm,16,17365.32
2023,2,212315,acima_10SM,deslig,26,16970.76
2023,2,212315,ate_3SM,adm,37,2513.1
2023,2,212315,ate_3SM,deslig,17,2626.25
2023,2,212320,3_a_6SM,adm,41,5780.95
2023,2,212320,3_a_6SM,deslig,45,5891.33
2023,2,212320,6_a_10SM,adm,51,10225.33
2023,2,212320,6_a_10SM,deslig,30,9876.7
2023,2,212320,acima_10SM,adm,18,16949.08
2023,2,212320,acima_10SM,deslig,22,16656.9
2023,2,212320,ate_3SM,adm,39,2700.36
2023,2,212320,ate_3SM,deslig,22,2996.32
2023,2,212405,3_a_6SM,adm,753,5541.74
2023,2,212405,3_a_6SM,deslig,942,5880.95
2023,2,212405,6_a_10SM,adm,826,10374.94
2023,2,212405,6_a_10SM,deslig,1049,10265.05
2023,2,212405,acima_10SM,adm,361,16617.17
2023,2,212405,acima_10SM,deslig,543,16870.74
2023,2,212405,ate_3SM,adm,507,2726.74
2023,2,212405,ate_3SM,deslig,614,2729.95
2023,2,212410,3_a_6SM,adm,128,5320.05
2023,2,212410,3_a_6SM,deslig,123,5635.31
2023,2,212410,6_a_10SM,adm,67,9723.18
2023,2,212410,6_a_10SM,deslig,56,10196.8
2023,2,212410,acima_10SM,adm,23,17279.44
2023,2,212410,acima_10SM,deslig,26,17522.17
2023,2,212410,ate_3SM,adm,225,2495.91
2023,2,212410,ate_3SM,deslig,195,2559.04
2023,2,212415,3_a_6SM,adm,30,5390.85
2023,2,212415,3_a_6SM,deslig,35,5853.88
2023,2,212415,6_a_10SM,adm,11,10674.7
2023,2,212415,6_a_10SM,deslig,21,10417.41
2023,2,212415,acima_10SM,adm,9,17588.89
2023,2,212415,acima_10SM,deslig,3,15930.24
2023,2,212415,ate_3SM,adm,48,2565.37
2023,2,212415,ate_3SM,deslig,50,2542.34
2023,2,212420,3_a_6SM,adm,199,5325.27
2023,2,212420,3_a_6SM,deslig,266,5419.41
2023,2,212420,6_a_10SM,adm,63,9706.22
2023,2,212420,6_a_10SM,deslig,80,10086.06
2023,2,212420,acima_10SM,adm,30,17045.8
2023,2,212420,acima_10SM,deslig,49,18057.46
2023,2,212420,ate_3SM,adm,821,2388.44
2023,2,212420,ate_3SM,deslig,808,2422.66
2023,2,212425,3_a_6SM,adm,4,6358.89
2023,2,212425,3_a_6SM,deslig,3,7085.91
2023,2,212425,6_a_10SM,adm,19,10247.46
2023,2,212425,6_a_10SM,deslig,11,11105.22
2023,2,212425,acima_10SM,adm,29,19722.02
2023,2,212425,acima_10SM,deslig,15,16608.3
2023,2,212425,ate_3SM,adm,1,2500.0
2023,2,212425,ate_3SM,deslig,3,2961.61
2023,2,212430,3_a_6SM,adm,30,5479.35
2023,2,212430,3_a_6SM,deslig,26,6218.61
